,close,date,time
2020-11-17 13:05:00,249.53,2020-11-17,1305
2020-11-17 13:10:00,249.75,2020-11-17,1310
2020-11-17 13:15:00,249.99,2020-11-17,1315
2020-11-17 13:20:00,249.99,2020-11-17,1320
2020-11-17 13:25:00,249.77,2020-11-17,1325
2020-11-17 13:30:00,249.13,2020-11-17,1330
2020-11-17 13:35:00,249.99,2020-11-17,1335
2020-11-17 13:40:00,249.8,2020-11-17,1340
2020-11-17 13:45:00,250.87,2020-11-17,1345
2020-11-17 13:50:00,250.0,2020-11-17,1350
2020-11-17 13:55:00,249.94,2020-11-17,1355
2020-11-17 14:00:00,249.79,2020-11-17,1400
2020-11-17 14:05:00,249.1,2020-11-17,1405
2020-11-17 14:10:00,248.21,2020-11-17,1410
2020-11-17 14:15:00,249.06,2020-11-17,1415
2020-11-17 14:20:00,248.72,2020-11-17,1420
2020-11-17 14:25:00,248.03,2020-11-17,1425
2020-11-17 14:30:00,246.6,2020-11-17,1430
2020-11-17 14:35:00,247.87,2020-11-17,1435
2020-11-17 14:40:00,248.75,2020-11-17,1440
2020-11-17 14:45:00,248.28,2020-11-17,1445
2020-11-17 14:50:00,250.21,2020-11-17,1450
2020-11-17 14:55:00,250.5,2020-11-17,1455
2020-11-17 15:00:00,250.68,2020-11-17,1500
2020-11-18 09:35:00,247.0,2020-11-18,0935
2020-11-18 09:40:00,249.3,2020-11-18,0940
2020-11-18 09:45:00,251.5,2020-11-18,0945
2020-11-18 09:50:00,249.88,2020-11-18,0950
2020-11-18 09:55:00,249.0,2020-11-18,0955
2020-11-18 10:00:00,246.89,2020-11-18,1000
2020-11-18 10:05:00,247.54,2020-11-18,1005
2020-11-18 10:10:00,243.06,2020-11-18,1010
2020-11-18 10:15:00,241.98,2020-11-18,1015
2020-11-18 10:20:00,244.59,2020-11-18,1020
2020-11-18 10:25:00,241.99,2020-11-18,1025
2020-11-18 10:30:00,241.03,2020-11-18,1030
2020-11-18 10:35:00,241.59,2020-11-18,1035
2020-11-18 10:40:00,241.05,2020-11-18,1040
2020-11-18 10:45:00,240.51,2020-11-18,1045
2020-11-18 10:50:00,239.0,2020-11-18,1050
2020-11-18 10:55:00,239.61,2020-11-18,1055
2020-11-18 11:00:00,238.0,2020-11-18,1100
2020-11-18 11:05:00,237.45,2020-11-18,1105
2020-11-18 11:10:00,237.8,2020-11-18,1110
2020-11-18 11:15:00,240.0,2020-11-18,1115
2020-11-18 11:20:00,240.82,2020-11-18,1120
2020-11-18 11:25:00,240.8,2020-11-18,1125
2020-11-18 11:30:00,240.11,2020-11-18,1130
2020-11-18 13:05:00,240.7,2020-11-18,1305
2020-11-18 13:10:00,239.48,2020-11-18,1310
2020-11-18 13:15:00,240.01,2020-11-18,1315
2020-11-18 13:20:00,240.18,2020-11-18,1320
2020-11-18 13:25:00,240.01,2020-11-18,1325
2020-11-18 13:30:00,239.76,2020-11-18,1330
2020-11-18 13:35:00,240.97,2020-11-18,1335
2020-11-18 13:40:00,241.89,2020-11-18,1340
2020-11-18 13:45:00,241.0,2020-11-18,1345
2020-11-18 13:50:00,240.99,2020-11-18,1350
2020-11-18 13:55:00,241.48,2020-11-18,1355
2020-11-18 14:00:00,240.88,2020-11-18,1400
2020-11-18 14:05:00,240.94,2020-11-18,1405
2020-11-18 14:10:00,240.57,2020-11-18,1410
2020-11-18 14:15:00,240.55,2020-11-18,1415
2020-11-18 14:20:00,240.02,2020-11-18,1420
2020-11-18 14:25:00,240.63,2020-11-18,1425
2020-11-18 14:30:00,240.01,2020-11-18,1430
2020-11-18 14:35:00,240.8,2020-11-18,1435
2020-11-18 14:40:00,240.85,2020-11-18,1440
2020-11-18 14:45:00,240.6,2020-11-18,1445
2020-11-18 14:50:00,240.12,2020-11-18,1450
2020-11-18 14:55:00,240.62,2020-11-18,1455
2020-11-18 15:00:00,240.5,2020-11-18,1500
2020-11-19 09:35:00,238.21,2020-11-19,0935
2020-11-19 09:40:00,240.27,2020-11-19,0940
2020-11-19 09:45:00,239.7,2020-11-19,0945
2020-11-19 09:50:00,242.0,2020-11-19,0950
2020-11-19 09:55:00,242.34,2020-11-19,0955
2020-11-19 10:00:00,241.32,2020-11-19,1000
2020-11-19 10:05:00,240.01,2020-11-19,1005
2020-11-19 10:10:00,239.0,2020-11-19,1010
2020-11-19 10:15:00,238.54,2020-11-19,1015
2020-11-19 10:20:00,238.6,2020-11-19,1020
2020-11-19 10:25:00,238.46,2020-11-19,1025
2020-11-19 10:30:00,237.28,2020-11-19,1030
2020-11-19 10:35:00,239.37,2020-11-19,1035
2020-11-19 10:40:00,239.8,2020-11-19,1040
2020-11-19 10:45:00,240.59,2020-11-19,1045
2020-11-19 10:50:00,240.61,2020-11-19,1050
2020-11-19 10:55:00,239.8,2020-11-19,1055
2020-11-19 11:00:00,238.88,2020-11-19,1100
2020-11-19 11:05:00,239.9,2020-11-19,1105
2020-11-19 11:10:00,239.27,2020-11-19,1110
